long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg,roughness_rms_m,nasa_score,rf_score,sim_score,nasa_pred,rf_pred,sim_pred,consensus_count,consensus_category,avg_score
323.05765,-1.4175,-1715.9,3393595.25,0.3685044886399674,1.4350836935894773,0.8860775564311565,0.075,0.9094674113014184,1,0,1,2,majority_accept,0.6235149892441916
323.05136,-1.4161,-1713.91,3393597.38,0.3685042380061579,1.4350836935894873,0.8857206373017659,0.075,0.9097810511016268,1,0,1,2,majority_accept,0.6235005628011309
323.05201,-1.4212,-1714.45,3393596.78,0.3141625407037439,1.1019623825702305,0.8859381897608917,0.075,0.909153789616579,1,0,1,2,majority_accept,0.6233639931258236
323.1421,-1.4276,-1724.2,3393584.73,0.1166326711744774,0.9335170314583155,0.8877324527357385,0.075,0.9057579635252476,1,0,1,2,majority_accept,0.622830138753662
322.94779,0.0641,-1676.77,3393642.52,0.4094586262426223,1.4682920272395716,0.8788875129088769,0.075,0.9139801832482224,1,0,1,2,majority_accept,0.6226225653856997
322.93072,0.0584,-1675.39,3393644.34,0.511342983403444,1.3640785926770869,0.8786638673101768,0.075,0.914132522432148,1,0,1,2,majority_accept,0.622598796580775
322.94385,0.0946,-1691.87,3393627.52,0.5323411912838026,0.9099526114197626,0.8818691780067617,0.075,0.910840580849018,1,0,1,2,majority_accept,0.6225699196185932
322.94451,0.0895,-1690.87,3393628.5,0.5488207511969188,0.9033762834518588,0.8816850593022822,0.075,0.9109377523189514,1,0,1,2,majority_accept,0.6225409372070779
322.9314,0.0533,-1671.95,3393647.77,0.5274591791128596,1.1494068991954074,0.8780893695610056,0.075,0.9143643412850802,1,0,1,2,majority_accept,0.6224845702820286
322.92865,0.0739,-1683.79,3393635.99,0.634199234418424,1.0912989839466332,0.8803155659638282,0.075,0.9120994198658732,1,0,1,2,majority_accept,0.6224716619432338
322.92934,0.0687,-1679.03,3393640.74,0.6111919428514186,1.0750074012750366,0.8794344287720398,0.075,0.9128889511646072,1,0,1,2,majority_accept,0.622441126645549
322.93003,0.0636,-1676.2,3393643.55,0.59389094384232,1.083549168156036,0.8789032388325478,0.075,0.913402349126994,1,0,1,2,majority_accept,0.622435195986514
320.63757,-1.3392,-1673.25,3393705.56,0.1779023977616405,1.310417365451884,0.8782994527925607,0.08,0.9090031196096368,1,0,1,2,majority_accept,0.6224341908007325
320.61505,-1.3317,-1675.83,3393703.55,0.1652496790832431,1.3478032309158297,0.8787711592541712,0.08,0.90848141472075,1,0,1,2,majority_accept,0.622417524658307
322.9321,0.0482,-1670.27,3393649.43,0.6167098786970197,1.3724136053738043,0.8776874869277194,0.075,0.9145279969063056,1,0,1,2,majority_accept,0.6224051612780083
323.14143,-1.4225,-1723.81,3393585.19,0.1662669128053691,0.466391482530738,0.8877556338275464,0.075,0.9043966782012384,1,0,1,2,majority_accept,0.6223841040095949
320.6369,-1.3341,-1672.91,3393705.95,0.1586660355229463,1.307351926199032,0.8782372479576598,0.08,0.9088637145413584,1,0,1,2,majority_accept,0.6223669874996727
320.62344,-1.3271,-1672.33,3393706.89,0.175481007631301,1.1568875410246422,0.8781779771284726,0.08,0.90889773826773,1,0,1,2,majority_accept,0.6223585717987342
320.6242,-1.334,-1675.67,3393703.48,0.1398833904979488,1.329756627795972,0.8787487889273177,0.08,0.9082663556119736,1,0,1,2,majority_accept,0.6223383815130971
320.63824,-1.3443,-1672.97,3393705.79,0.1556900940150055,1.1819639765677707,0.8782913881882967,0.08,0.9087016082907876,1,0,1,2,majority_accept,0.6223309988263614
